Account_ID,Customer_ID,Branch_ID,Account_Type,Balance,Opening_Date
50048,13843,109,Savings,208476,03-03-2018
50049,14554,104,Current,98974,04-05-2023
50050,13175,107,Current,444006,23-03-2020
50051,10625,107,Current,261476,26-07-2017
50052,10158,108,Savings,419152,30-10-2018
50053,11034,100,Current,392048,03-10-2019
50054,11420,107,Savings,186015,17-04-2021
50055,13597,103,Current,1431433,13-07-2018
50056,10656,106,Current,452186,23-02-2020
50057,13774,103,Savings,62598,11-11-2016
50058,11026,105,Current,1792843,30-09-2023
50059,11843,105,Current,924360,03-03-2026
50060,12371,107,Current,748817,01-07-2025
50061,13008,102,Current,457586,30-10-2019
50062,13609,105,Current,1701236,18-04-2020
50063,11549,109,Current,1372159,14-01-2025
50064,11276,101,Savings,363892,21-04-2025
50065,10230,103,Savings,823386,25-01-2026
50066,12645,103,Current,240867,08-06-2024
50067,13361,105,Savings,1254229,21-03-2026
50068,12571,106,Current,1322512,30-04-2018
50069,14755,108,Current,1755233,08-07-2017
50070,11416,101,Savings,375682,02-08-2018
50071,14045,100,Savings,1021396,19-11-2017
50072,11817,103,Current,22130,01-07-2021
50073,14727,101,Savings,111478,06-12-2017
50074,11329,103,Current,142101,26-07-2020
50075,11489,104,Current,765889,27-09-2021
50076,10918,105,Current,1449487,22-08-2019
50077,12576,104,Savings,718007,11-05-2020
50078,12017,105,Savings,495288,21-02-2022
50079,12534,102,Savings,33731,03-07-2021
50080,13680,103,Current,1005377,26-08-2017
50081,14820,108,Savings,132613,01-11-2024
50082,10001,100,Current,1145911,20-11-2018
50083,13983,102,Current,327329,19-09-2025
50084,11097,101,Current,1759426,16-06-2018
50085,11775,102,Savings,1916252,06-11-2023
50086,13423,109,Savings,1648022,14-08-2021
50087,11647,103,Savings,323757,30-03-2020
50088,10118,103,Current,846021,22-07-2024
50089,12088,100,Current,541063,04-02-2023
50090,10422,109,Savings,446080,15-01-2020
50091,10314,106,Savings,1280402,14-06-2022
50092,12816,109,Savings,1974709,20-02-2023
50093,10642,109,Savings,1855788,13-02-2018
50094,14309,103,Savings,1099106,03-04-2023
50095,13493,109,Current,279576,01-07-2019
50096,11897,106,Savings,308393,13-06-2023
50097,10584,109,Savings,73081,04-08-2025
50098,11513,108,Current,921257,15-03-2022
50099,13993,104,Current,1057160,16-09-2016
50100,10046,100,Current,691208,08-07-2021
50101,14134,102,Current,15328,05-01-2022
50102,10693,100,Savings,727021,15-05-2021
50103,13324,106,Current,440083,12-02-2023
50104,11211,107,Current,118284,24-12-2023
50105,11790,102,Current,1178841,21-09-2023
50106,11912,106,Savings,1625515,29-05-2025
50107,11136,100,Savings,678547,19-08-2018
50108,10723,109,Current,1950011,06-06-2021
50109,11211,108,Current,194016,18-10-2020
50110,12701,108,Current,1390370,26-06-2023
50111,12912,101,Current,432039,12-08-2019
50112,14795,102,Current,176243,21-08-2022
50113,13400,109,Current,1052962,28-10-2023
50114,13339,103,Current,1968791,16-02-2017
50115,11076,103,Savings,59649,25-11-2025
50116,14085,103,Current,60740,16-03-2025
50117,12003,101,Current,358820,15-06-2024
50118,14212,104,Current,335621,02-04-2025
50119,11219,101,Savings,370535,10-11-2021
50120,13521,100,Current,1724161,19-12-2024
50121,12633,107,Savings,1279160,10-02-2017
50122,13961,102,Savings,1834752,05-08-2023
50123,13173,109,Current,178016,03-03-2017
50124,13310,109,Savings,1662083,27-09-2019
50125,14391,101,Current,979976,21-02-2020
50126,14390,108,Current,109505,20-11-2017
50127,12887,101,Current,570546,16-09-2017
50128,11885,103,Current,1191480,21-06-2019
50129,10148,108,Savings,195252,13-10-2021
50130,12146,106,Savings,910427,12-06-2022
50131,12696,101,Savings,586811,19-01-2018
50132,10546,107,Savings,95014,04-10-2021
50133,14142,100,Current,649047,27-10-2022
50134,14128,102,Savings,1391370,20-08-2019
50135,11869,108,Current,1797276,24-09-2018
50136,12057,105,Current,261437,02-12-2022
50137,14835,105,Savings,1295939,05-06-2022
50138,10633,106,Savings,1495969,03-04-2019
50139,11202,100,Current,999370,26-02-2020
50140,12299,107,Current,1066406,06-07-2025
50141,11523,104,Savings,1668468,07-04-2017
50142,11037,101,Savings,1614237,15-05-2019
50143,12363,105,Savings,1926146,09-05-2022
50144,10055,104,Current,1353521,13-11-2023
50145,12811,102,Savings,1876685,13-12-2018
50146,10112,102,Savings,451770,28-09-2023
50147,13629,107,Current,745658,02-06-2022
50148,10908,101,Current,1984094,20-02-2020
50149,10183,109,Current,339923,31-01-2020
50150,14439,109,Savings,582936,21-10-2018
50151,11019,104,Savings,674905,14-11-2022
50152,14214,102,Savings,1717043,30-03-2017
50153,12714,109,Savings,1222927,08-10-2022
50154,13543,109,Current,1365185,22-10-2016
50155,14180,103,Current,275714,08-02-2025
50156,13009,100,Current,1509543,15-02-2023
50157,14649,101,Current,325016,09-12-2017
50158,10552,106,Savings,1490303,24-08-2023
50159,14601,100,Savings,77282,28-12-2021
50160,10284,109,Current,353256,30-06-2024
50161,10338,105,Savings,1481459,22-01-2023
50162,14520,102,Current,1529656,23-03-2019
50163,14868,106,Savings,1757738,30-12-2017
50164,12797,107,Savings,733555,02-08-2024
50165,13660,102,Current,1985058,21-08-2019
50166,11786,103,Current,190010,08-04-2018
50167,10498,101,Savings,959743,25-01-2023
50168,12521,108,Current,1162808,28-06-2019
50169,12637,101,Savings,1703862,20-11-2022
50170,13184,100,Current,1814334,04-11-2021
50171,12421,105,Current,1637589,11-03-2024
50172,13224,105,Savings,675401,15-04-2017
50173,13355,102,Current,691489,10-12-2020
50174,10415,108,Savings,1409242,26-11-2019
50175,11050,104,Current,1334258,16-04-2020
50176,12952,108,Savings,58740,05-05-2023
50177,12729,106,Savings,314269,29-05-2026
50178,14733,104,Savings,1615882,11-07-2021
50179,13254,108,Current,273115,23-04-2020
50180,12684,101,Savings,1097417,21-06-2017
50181,13370,104,Savings,1753977,13-03-2021
50182,13137,105,Current,894232,07-03-2023
50183,10557,100,Current,327463,11-03-2024
50184,12639,109,Current,257905,03-12-2022
50185,13490,104,Savings,1480570,04-03-2017
50186,14737,109,Current,381422,10-01-2023
50187,10047,100,Savings,448883,13-08-2017
50188,13673,101,Current,39996,15-06-2026
50189,10023,108,Current,1455427,29-06-2024
50190,11914,108,Current,350008,12-10-2021
50191,11188,102,Savings,1372260,30-03-2024
50192,12080,109,Current,1582477,11-05-2026
50193,12127,104,Current,1212214,15-07-2025
50194,12086,100,Savings,61912,30-09-2022
50195,13986,106,Current,424373,25-05-2023
50196,13045,103,Savings,1574098,05-09-2018
50197,12729,101,Savings,428376,02-07-2024
50198,13391,104,Current,1201956,16-06-2023
50199,12694,102,Savings,306007,22-07-2025
50200,12523,103,Current,326561,12-06-2025
50201,13114,100,Current,823596,09-12-2023
50202,14224,102,Current,936858,19-02-2019
50203,13389,102,Savings,1667796,18-05-2024
50204,12109,101,Savings,948453,17-02-2019
50205,14050,107,Current,341891,31-07-2021
50206,10004,101,Current,908345,10-09-2017
50207,11953,109,Current,1804355,16-11-2016
50208,12824,104,Savings,1984608,11-02-2020
50209,13866,102,Current,338073,10-12-2019
50210,11925,105,Savings,1478701,18-07-2023
50211,13502,108,Current,1896248,17-10-2017
50212,14816,103,Savings,272807,11-05-2020
50213,12114,104,Current,1772874,11-11-2017
50214,13057,109,Savings,1315256,05-04-2020
50215,13313,103,Current,1111863,29-06-2022
50216,11883,107,Current,1326179,28-12-2025
50217,12190,103,Savings,294465,28-09-2024
50218,13876,107,Savings,1371098,14-07-2017
50219,14680,109,Current,17051,14-10-2025
50220,10219,100,Savings,1332917,06-07-2017
50221,14822,104,Savings,529589,21-04-2018
50222,13928,107,Current,1558587,04-07-2025
50223,12231,104,Current,359754,24-03-2025
50224,13814,108,Savings,345452,24-06-2017
50225,10086,109,Savings,704979,11-01-2021
50226,12797,100,Savings,252393,26-07-2023
50227,11851,108,Current,1545276,11-05-2021
50228,13754,108,Savings,1775175,23-03-2023
50229,14503,100,Savings,1141249,31-03-2021
50230,13956,100,Savings,845452,09-12-2017
50231,11396,106,Savings,357575,24-06-2022
50232,14991,105,Current,424913,05-03-2022
50233,13706,100,Savings,1364186,08-09-2025
50234,14357,104,Current,601205,23-08-2016
50235,13715,101,Current,754857,18-05-2026
50236,12917,108,Savings,1273063,19-08-2016
50237,12154,107,Current,63738,12-01-2017
50238,12493,102,Savings,1860994,19-03-2020
50239,11688,108,Current,90082,22-11-2021
50240,12363,106,Savings,1840178,17-09-2019
50241,14891,104,Savings,1127406,24-02-2025
50242,13138,103,Current,1004596,21-09-2017
50243,11797,101,Savings,230513,25-08-2023
50244,13146,101,Savings,40038,07-04-2026
50245,10125,106,Savings,13227,14-05-2023
50246,13560,100,Current,698189,10-10-2025
50247,13661,101,Savings,1761584,10-04-2024
50248,13446,103,Savings,1002180,16-07-2025
50249,11358,106,Savings,1966531,24-02-2024
50250,12233,103,Current,30682,17-09-2016
50251,12383,106,Savings,138860,02-02-2018
50252,13866,101,Current,201915,23-05-2024
50253,12872,106,Current,1814603,09-08-2016
50254,11731,101,Savings,730874,05-11-2024
50255,14899,102,Current,248933,23-12-2018
50256,14185,107,Current,1021168,03-07-2016
50257,12177,105,Current,1053653,05-08-2023
50258,13609,102,Current,1048587,11-01-2018
50259,12089,100,Current,1742438,10-09-2021
50260,11511,106,Current,321742,22-06-2017
50261,14466,106,Savings,23831,12-01-2024
50262,13810,106,Savings,928160,25-10-2021
50263,13098,106,Current,1098022,03-01-2022
50264,13577,102,Current,1273383,17-01-2024
50265,12664,103,Savings,958029,28-04-2026
50266,12902,106,Savings,1393209,30-06-2023
50267,11985,108,Current,1530858,22-01-2019
50268,14942,102,Savings,1500559,14-03-2020
50269,13238,102,Current,1332359,21-01-2019
50270,10798,108,Current,88519,13-01-2025
50271,12540,105,Savings,1093229,02-11-2021
50272,14064,100,Savings,1159599,28-03-2024
50273,14932,101,Savings,124240,18-07-2020
50274,14318,105,Current,499251,20-12-2018
50275,11608,108,Savings,824074,31-01-2026
50276,11531,108,Savings,1795657,04-03-2024
50277,14379,101,Savings,1555358,13-04-2023
50278,11612,109,Savings,321698,11-05-2021
50279,10386,104,Savings,457373,07-08-2025
50280,14541,102,Current,1303322,19-07-2023
50281,11636,103,Current,726129,14-10-2016
50282,14642,103,Current,58876,06-02-2020
50283,14511,102,Current,400811,11-09-2020
50284,14974,107,Current,1529567,24-11-2022
50285,12631,104,Savings,49151,06-04-2023
50286,14201,103,Savings,569247,12-12-2022
50287,11683,102,Savings,107300,12-02-2023
50288,11754,104,Current,1142088,30-01-2020
50289,13008,103,Savings,1922579,25-07-2016
50290,10524,106,Current,734540,04-08-2016
50291,11672,100,Current,1272637,20-10-2023
50292,11042,103,Savings,1867631,30-01-2024
50293,13946,108,Savings,498724,01-05-2018
50294,11005,107,Savings,89054,10-07-2024
50295,12903,100,Current,385860,09-12-2025
50296,14591,104,Savings,430561,02-11-2022
50297,12720,109,Savings,317579,21-06-2023
50298,10361,106,Current,1630180,12-05-2022
50299,10244,109,Current,1656688,27-10-2021
50300,11135,107,Current,218130,10-04-2024
50301,14836,102,Savings,806150,16-03-2021
50302,13831,101,Savings,490400,01-03-2025
50303,13453,105,Savings,1743754,15-10-2016
50304,12407,100,Current,392993,30-09-2017
50305,10063,105,Current,1236788,03-06-2025
50306,10864,107,Savings,1765161,10-05-2020
50307,14394,104,Current,368338,29-08-2023
50308,14217,105,Current,980772,24-05-2020
50309,11389,102,Savings,23484,08-12-2020
50310,13227,109,Current,1265546,05-04-2017
50311,13403,104,Savings,1786325,22-03-2021
50312,13951,102,Savings,114803,06-03-2020
50313,12985,101,Current,376881,31-05-2026
50314,10077,101,Savings,968663,20-12-2017
50315,14710,106,Savings,840334,29-05-2025
50316,11260,103,Current,1067312,18-12-2018
50317,14949,100,Savings,854856,17-10-2021
50318,12838,103,Current,1425429,30-05-2020
50319,13954,108,Current,499683,25-12-2016
50320,13218,102,Savings,704852,15-07-2020
50321,12910,101,Current,1679012,24-01-2025
50322,12507,101,Savings,18673,30-08-2016
50323,11157,104,Current,1096541,16-08-2019
50324,14439,101,Current,1206974,05-01-2022
50325,10373,104,Savings,1113029,05-02-2023
50326,12161,106,Savings,445160,03-06-2025
50327,11384,102,Current,844506,23-02-2021
50328,14645,101,Current,1659333,29-05-2021
50329,14230,100,Savings,317814,10-02-2017
50330,14631,101,Current,408785,11-09-2022
50331,12102,104,Savings,223546,26-10-2020
50332,10459,108,Savings,436775,17-02-2021
50333,11689,103,Savings,467126,10-09-2025
50334,12176,102,Current,986714,11-02-2025
50335,10655,104,Current,1162632,17-07-2024
50336,12760,101,Savings,461710,26-01-2019
50337,12359,106,Current,1384177,24-10-2023
50338,12205,107,Current,1813936,30-09-2020
50339,10190,107,Savings,1527667,25-08-2022
50340,11898,103,Savings,336903,11-02-2023
50341,13773,108,Savings,56594,10-04-2019
50342,12492,101,Savings,48680,07-11-2025
50343,12029,100,Savings,567648,19-04-2025
50344,11150,101,Current,634078,10-12-2019
50345,10782,102,Current,428529,20-07-2019
50346,13728,106,Savings,267542,13-07-2018
50347,12684,100,Current,666001,04-03-2023
50348,11368,104,Current,419936,23-02-2017
50349,10619,104,Savings,373368,14-03-2022
50350,14814,107,Current,1806869,15-11-2025
50351,10252,106,Savings,1940650,13-11-2024
50352,13659,102,Current,1755036,28-09-2025
50353,13474,107,Current,75259,19-09-2017
50354,14186,100,Savings,75573,24-11-2022
50355,12465,105,Savings,480362,02-03-2023
50356,10053,104,Savings,95916,12-12-2018
50357,12301,104,Savings,413474,16-04-2017
50358,13359,107,Current,20446,06-06-2022
50359,14135,104,Savings,1307632,23-08-2020
50360,12027,102,Savings,716677,15-08-2016
50361,10538,109,Savings,1706769,03-11-2019
50362,11135,104,Savings,399204,12-06-2026
50363,13190,104,Savings,70814,24-04-2024
50364,13400,107,Savings,587427,13-07-2020
50365,12168,103,Current,1030766,26-11-2021
50366,12732,108,Savings,1098298,21-06-2024
50367,13835,108,Current,339221,05-07-2025
50368,14123,106,Savings,1502629,21-10-2019
50369,12883,102,Current,232170,01-05-2024
50370,10569,101,Savings,768606,20-05-2026
50371,11078,102,Savings,920675,01-11-2018
50372,14462,107,Current,104860,18-10-2017
50373,14843,103,Savings,1528393,10-12-2017
50374,14751,100,Savings,233788,10-05-2023
50375,10070,104,Current,277366,23-09-2018
50376,14382,105,Savings,141096,12-11-2023
50377,14229,102,Current,1465512,01-04-2023
50378,12044,107,Current,400964,31-03-2026
50379,14266,107,Current,1126830,28-01-2021
50380,13683,103,Savings,409911,31-07-2019
50381,12512,102,Savings,594749,28-04-2025
50382,11598,104,Savings,744028,07-08-2024
50383,11127,103,Current,100052,30-08-2017
50384,12948,100,Current,1363931,07-02-2019
50385,12936,108,Current,50663,29-07-2017
50386,12928,107,Savings,708638,30-10-2018
50387,14489,107,Current,1882430,16-10-2016
50388,10863,105,Savings,465537,20-12-2024
50389,13424,106,Savings,1860959,19-07-2018
50390,11678,105,Current,1833751,09-09-2020
50391,11656,100,Current,269375,05-06-2023
50392,14329,107,Savings,357920,01-06-2021
50393,13246,105,Savings,1586261,03-12-2025
50394,13187,109,Savings,1186874,25-08-2021
50395,10091,108,Current,320722,02-04-2023
50396,12056,102,Savings,557740,10-06-2017
50397,10761,103,Current,940219,14-11-2017
50398,11434,102,Current,208807,09-12-2025
50399,12005,106,Current,1511965,28-05-2019
50400,11698,105,Current,88599,29-07-2024
50401,12987,109,Savings,115415,24-05-2018
50402,14755,102,Savings,1442335,15-01-2026
50403,13138,103,Current,778256,10-04-2023
50404,13684,100,Savings,169577,25-03-2026
50405,14994,101,Current,435115,13-05-2022
50406,10802,108,Savings,19585,26-07-2017
50407,10397,101,Current,1808915,24-02-2023
50408,12034,102,Savings,733754,22-05-2024
50409,10286,103,Savings,288808,08-01-2019
50410,11524,109,Current,50302,21-04-2024
50411,10828,105,Savings,256049,27-10-2017
50412,12698,103,Current,915858,30-06-2017
50413,12572,108,Savings,1833074,16-03-2023
50414,11064,107,Current,369865,08-10-2021
50415,10108,105,Current,1933146,14-02-2023
50416,13176,109,Savings,97569,12-05-2023
50417,11098,105,Savings,544238,27-03-2019
50418,11479,104,Current,351068,12-05-2018
50419,14505,105,Savings,444275,23-01-2026
50420,10925,103,Current,1004096,17-02-2018
50421,12111,104,Current,751823,21-10-2025
50422,14781,105,Savings,1524583,17-04-2020
50423,10380,103,Current,347231,28-11-2017
50424,12593,104,Savings,334017,29-08-2018
50425,14203,109,Savings,766942,10-12-2024
50426,13103,102,Current,272470,07-07-2024
50427,10706,102,Current,1090177,16-03-2019
50428,13614,104,Savings,848366,19-06-2017
50429,11900,105,Savings,693946,02-06-2022
50430,14005,103,Current,750721,21-07-2018
50431,11278,101,Current,1223940,29-12-2024
50432,11056,105,Savings,50841,26-07-2017
50433,10828,106,Savings,326178,09-07-2022
50434,11973,101,Savings,580664,29-03-2021
50435,12802,107,Savings,18798,08-09-2024
50436,10534,102,Current,165179,06-05-2019
50437,10776,101,Savings,23965,05-02-2022
50438,11666,102,Current,114700,21-07-2023
50439,14155,103,Savings,237672,04-11-2024
50440,13447,105,Savings,1501268,31-07-2017
50441,13316,109,Current,24127,23-12-2018
50442,12357,102,Savings,522966,26-03-2024
50443,14516,105,Current,1304801,18-05-2017
50444,10445,101,Savings,1028546,10-07-2023
50445,14838,109,Current,965755,12-08-2020
50446,13176,104,Savings,482470,15-05-2021
50447,13622,103,Savings,288148,08-12-2022
50448,12603,101,Savings,829073,26-04-2026
50449,12144,106,Savings,204909,08-02-2021
50450,10191,104,Current,1668521,19-02-2022
50451,12630,108,Current,1150378,27-05-2017
50452,10437,104,Savings,455237,06-02-2019
50453,11315,107,Current,116950,31-07-2025
50454,12515,106,Savings,285267,13-06-2022
50455,10558,107,Current,66428,21-04-2018
50456,11972,100,Savings,918867,22-06-2018
50457,13233,100,Current,645353,31-03-2021
50458,11724,108,Savings,37948,13-03-2024
50459,11036,105,Current,1857867,05-02-2019
50460,13572,107,Current,1777573,21-10-2025
50461,10412,104,Current,924096,25-03-2022
50462,11435,100,Current,347595,03-12-2023
50463,10018,102,Savings,1727680,06-11-2025
50464,14738,108,Savings,1546482,21-04-2020
50465,14095,102,Savings,493423,23-06-2025
50466,14578,105,Current,96845,15-05-2024
50467,11401,109,Current,96731,06-07-2019
50468,12349,108,Savings,294123,14-05-2020
50469,12757,108,Current,1971529,18-08-2024
50470,10825,102,Savings,540838,13-02-2019
50471,14425,108,Current,1801578,17-10-2017
50472,12041,108,Savings,1633590,19-10-2019
50473,14002,109,Savings,794725,29-01-2022
50474,14906,107,Current,398524,26-03-2017
50475,11297,101,Savings,1202364,23-06-2023
50476,12205,106,Savings,216232,29-03-2025
50477,10684,104,Current,14679,28-11-2020
50478,11883,106,Current,1149022,05-09-2021
50479,14543,109,Savings,250395,10-12-2017
50480,10213,103,Savings,919904,06-10-2022
50481,11551,101,Savings,412875,07-10-2018
50482,13804,107,Current,1979366,26-09-2022
50483,13431,108,Current,274624,11-06-2021
50484,13036,107,Current,37558,02-08-2020
50485,12685,107,Current,654188,14-04-2020
50486,14361,106,Current,348784,14-05-2025
50487,14497,109,Current,139945,24-01-2017
50488,11975,103,Current,302733,12-06-2025
50489,12151,102,Current,243319,05-08-2016
50490,13990,106,Savings,287323,15-10-2018
50491,13265,104,Savings,360944,02-07-2019
50492,14070,101,Savings,1897161,27-03-2025
50493,14664,101,Current,101386,22-11-2022
50494,12584,101,Savings,841236,01-02-2017
50495,10804,105,Current,1834279,22-07-2018
50496,13041,107,Savings,778283,17-01-2026
50497,10182,106,Savings,70744,14-02-2021
50498,12730,102,Current,1145906,31-03-2026
50499,12744,107,Current,1181037,03-05-2017
50500,10584,109,Savings,26599,12-08-2022
50501,13644,107,Savings,260948,06-07-2018
50502,11389,102,Current,72624,29-07-2023
50503,14430,103,Current,1304876,14-11-2025
50504,10042,101,Savings,452231,04-04-2022
50505,10849,108,Current,1371905,17-06-2016
50506,13816,102,Current,1455433,13-02-2022
50507,11399,102,Savings,1687634,07-11-2016
50508,11052,107,Current,761248,02-09-2018
50509,10634,108,Current,560461,05-03-2026
50510,11688,102,Savings,433978,11-02-2019
50511,12476,109,Savings,405374,15-07-2025
50512,12663,105,Current,1877746,15-01-2021
50513,10828,102,Current,946680,11-01-2023
50514,12667,101,Savings,1911616,06-03-2017
50515,11327,106,Savings,305939,16-06-2018
50516,13032,105,Savings,627099,01-12-2025
50517,12105,104,Savings,388773,27-12-2020
50518,14061,104,Current,203099,13-02-2017
50519,11104,104,Savings,88784,26-03-2018
50520,14275,101,Current,88902,21-01-2022
50521,14664,109,Savings,183163,14-08-2018
50522,11345,107,Savings,853114,16-09-2020
50523,13216,104,Current,1312663,14-05-2020
50524,10323,108,Current,692682,27-06-2025
50525,10091,106,Savings,1966672,04-03-2017
50526,12027,103,Savings,670665,25-05-2024
50527,11044,102,Savings,193224,11-11-2017
50528,14451,101,Savings,1770106,06-01-2025
50529,12566,100,Savings,434624,25-07-2024
50530,10328,109,Savings,1342881,29-10-2022
50531,10082,105,Savings,52660,26-08-2024
50532,10710,101,Current,1761499,03-09-2025
50533,13274,105,Savings,454058,28-11-2016
50534,13018,105,Savings,692177,31-07-2017
50535,14529,104,Current,308319,02-06-2024
50536,10085,104,Savings,82005,04-09-2020
50537,13175,104,Current,294643,07-04-2026
50538,11772,101,Current,668907,30-12-2019
50539,11682,106,Current,457963,16-01-2021
50540,14544,103,Savings,589630,17-06-2019
50541,12104,103,Current,764894,15-08-2019
50542,10496,103,Current,1882193,02-04-2017
50543,14232,104,Savings,932392,11-07-2019
50544,11061,105,Savings,1780093,27-11-2023
50545,14246,106,Savings,211273,17-06-2021
50546,14133,105,Current,382650,28-09-2025
50547,10871,107,Savings,1998930,14-09-2023
50548,10146,101,Current,252273,17-05-2017
50549,11046,106,Current,887663,23-08-2016
50550,14627,106,Savings,1402671,03-04-2026
50551,14320,102,Current,420300,27-08-2020
50552,13603,101,Savings,1843207,31-01-2018
50553,14246,103,Current,170655,17-08-2018
50554,11711,106,Savings,104644,19-02-2020
50555,13164,103,Current,1045453,26-03-2022
50556,12149,107,Savings,1225483,28-12-2019
50557,10649,108,Current,654149,27-11-2017
50558,10218,107,Savings,325776,16-07-2018
50559,13862,102,Current,620762,31-05-2025
50560,11219,104,Current,205211,25-03-2017
50561,11059,103,Current,1638381,14-08-2018
50562,14708,105,Savings,229414,28-02-2025
50563,10865,105,Current,770069,22-12-2021
50564,11582,104,Savings,491627,16-04-2018
50565,12515,101,Current,419333,04-08-2022
50566,12176,105,Savings,984109,11-09-2021
50567,11557,107,Current,458704,10-11-2020
50568,10956,102,Savings,14785,30-12-2022
50569,10137,108,Savings,68149,30-09-2020
50570,14056,100,Savings,1059052,28-12-2022
50571,11629,102,Current,94304,26-10-2023
50572,10169,105,Current,296596,01-09-2023
50573,12943,105,Current,1533383,02-07-2021
50574,11353,107,Current,1478619,29-09-2020
50575,11034,106,Savings,413601,01-07-2016
50576,13248,108,Savings,1547340,20-07-2019
50577,14735,102,Savings,455581,03-12-2020
50578,12304,107,Current,350952,09-09-2020
50579,12694,104,Current,205877,05-10-2018
50580,10930,102,Current,878995,28-01-2020
50581,11245,100,Savings,1081914,06-11-2019
50582,14938,100,Savings,249418,17-10-2021
50583,14638,101,Savings,1434818,21-04-2026
50584,13801,101,Savings,676272,23-06-2017
50585,11219,108,Current,368550,13-03-2024
50586,12690,108,Savings,74764,11-05-2024
50587,13477,104,Savings,755550,24-10-2024
50588,10487,105,Current,465603,11-02-2024
50589,14234,109,Current,286096,03-08-2016
50590,12147,109,Current,1961867,25-05-2024
50591,14120,102,Savings,1558708,29-01-2025
50592,14792,100,Current,1043957,11-04-2020
50593,12549,102,Current,55065,25-12-2025
50594,14861,105,Savings,617952,13-02-2017
50595,12606,107,Savings,551404,29-11-2017
50596,12273,105,Current,242316,20-04-2026
50597,10788,108,Current,1790382,15-04-2020
50598,10034,103,Savings,1619196,27-08-2024
50599,12573,105,Savings,55322,17-07-2018
50600,12163,104,Savings,1673031,23-10-2021
50601,13305,102,Current,975222,21-03-2020
50602,10579,109,Savings,1062410,24-11-2019
50603,11401,107,Current,14548,17-02-2022
50604,12811,101,Current,232444,13-06-2022
50605,13321,109,Savings,532010,04-10-2023
50606,10155,107,Savings,1462500,30-05-2019
50607,12516,108,Savings,1665615,27-01-2025
50608,13039,101,Savings,402970,01-02-2019
50609,14733,108,Savings,1708861,04-05-2021
50610,12510,102,Current,1845843,25-07-2023
50611,10621,104,Savings,468720,05-12-2023
50612,12383,103,Savings,79963,19-11-2025
50613,12417,107,Current,304686,10-04-2019
50614,12680,103,Current,72341,27-09-2020
50615,12872,100,Savings,1592720,25-09-2024
50616,12615,100,Savings,322535,12-12-2024
50617,11318,109,Savings,1559748,14-04-2019
50618,11645,105,Savings,261156,13-08-2018
50619,10090,103,Savings,1389209,25-07-2019
50620,10606,106,Savings,72326,11-06-2024
50621,10549,102,Current,426798,30-04-2023
50622,14863,107,Savings,380360,04-06-2024
50623,10424,100,Savings,1564027,24-10-2023
50624,11432,102,Savings,1768749,21-02-2021
50625,13114,106,Savings,798714,19-07-2021
50626,11012,104,Savings,1014732,23-12-2020
50627,14039,103,Savings,1339603,12-11-2020
50628,11694,109,Current,427892,27-07-2016
50629,13637,104,Current,1655887,28-04-2023
50630,11331,108,Current,1229116,24-01-2025
50631,10603,102,Savings,880166,04-08-2017
50632,10800,103,Savings,839235,09-12-2022
50633,12575,107,Savings,411620,15-02-2023
50634,10016,107,Savings,97453,28-09-2024
50635,12829,105,Current,1536933,05-06-2024
50636,10087,108,Current,986068,02-12-2025
